1 1  1 1
2 2  1 0 1
3 2  1 -1 1
4 4  1 0 0 0 1
5 4  1 -1 1 -1 1
6 4  1 0 -1 0 1
7 6  1 -1 1 -1 1 -1 1
8 8  1 0 0 0 0 0 0 0 1
9 6  1 0 0 -1 0 0 1
10 8  1 0 -1 0 1 0 -1 0 1
11 10  1 -1 1 -1 1 -1 1 -1 1 -1 1
12 8  1 0 0 0 -1 0 0 0 1
13 12  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
14 12  1 0 -1 0 1 0 -1 0 1 0 -1 0 1
15 8  1 1 0 -1 -1 -1 0 1 1
16 16  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
17 16  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
18 12  1 0 0 0 0 0 -1 0 0 0 0 0 1
19 18  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
20 16  1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1
21 12  1 1 0 -1 -1 0 1 0 -1 -1 0 1 1
22 20  1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1
23 22  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
24 16  1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1
25 20  1 0 0 0 0 -1 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 1
26 24  1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1
27 18  1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 1
28 24  1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1
29 28  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
30 16  1 0 1 0 0 0 -1 0 -1 0 -1 0 0 0 1 0 1
31 30  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
32 32  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
33 20  1 1 0 -1 -1 0 1 1 0 -1 -1 -1 0 1 1 0 -1 -1 0 1 1
34 32  1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1
35 24  1 1 0 0 0 -1 -1 -1 -1 0 1 1 1 1 1 0 -1 -1 -1 -1 0 0 0 1 1
36 24  1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1
37 36  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
38 36  1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1
39 24  1 1 0 -1 -1 0 1 1 0 -1 -1 0 1 0 -1 -1 0 1 1 0 -1 -1 0 1 1
40 32  1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1
41 40  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
42 24  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1
43 42  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
44 40  1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1
45 24  1 0 0 1 0 0 0 0 0 -1 0 0 -1 0 0 -1 0 0 0 0 0 1 0 0 1
46 44  1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1
47 46  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
48 32  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
49 42  1 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0 -1 0 0 0 0 0 0 1
50 40  1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1
51 32  1 1 0 -1 -1 0 1 1 0 -1 -1 0 1 1 0 -1 -1 -1 0 1 1 0 -1 -1 0 1 1 0 -1 -1 0 1 1
52 48  1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 0 0 1
53 52  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
54 36  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
55 40  1 1 0 0 0 -1 -1 0 0 0 1 0 -1 0 0 -1 0 1 0 0 1 0 0 1 0 -1 0 0 -1 0 1 0 0 0 -1 -1 0 0 0 1 1
56 48  1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1
57 36  1 1 0 -1 -1 0 1 1 0 -1 -1 0 1 1 0 -1 -1 0 1 0 -1 -1 0 1 1 0 -1 -1 0 1 1 0 -1 -1 0 1 1
58 56  1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1
59 58  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
60 32  1 0 0 0 1 0 0 0 0 0 0 0 -1 0 0 0 -1 0 0 0 -1 0 0 0 0 0 0 0 1 0 0 0 1
61 60  1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1
